Date,Time,Open,High,Low,Close,Volume
2008.12.18,0:00,1.4419,1.4722,1.418,1.4243,130729
2008.12.19,0:00,1.4245,1.4309,1.3824,1.3896,97325
2008.12.22,0:00,1.3924,1.4125,1.39,1.394,48814
2008.12.23,0:00,1.3936,1.4021,1.386,1.3917,35301
2008.12.24,0:00,1.3912,1.4019,1.3912,1.4008,22097
2008.12.26,0:00,1.398,1.4119,1.398,1.4012,13069
2008.12.29,0:00,1.4061,1.4362,1.392,1.3926,41266
2008.12.30,0:00,1.3921,1.4221,1.3921,1.4057,37895
2008.12.31,0:00,1.4058,1.4148,1.3852,1.3972,22703
2009.01.02,0:00,1.4055,1.4055,1.3838,1.3909,23545
2009.01.05,0:00,1.3903,1.3962,1.3546,1.3636,28590
2009.01.06,0:00,1.3635,1.3659,1.3311,1.3534,30783
2009.01.07,0:00,1.3535,1.3746,1.3431,1.3644,31300
2009.01.08,0:00,1.3643,1.3798,1.3532,1.3701,30483
2009.01.09,0:00,1.3699,1.3751,1.3414,1.3475,34487
2009.01.12,0:00,1.347,1.3472,1.3289,1.3359,49262
2009.01.13,0:00,1.3359,1.3373,1.314,1.3183,52987
2009.01.14,0:00,1.3182,1.3336,1.3092,1.3186,51300
2009.01.15,0:00,1.3185,1.3242,1.3025,1.3106,59065
2009.01.16,0:00,1.3107,1.3341,1.3075,1.3075,42627
2009.01.19,0:00,1.333,1.3383,1.3062,1.3064,36747
2009.01.20,0:00,1.3064,1.31,1.2856,1.2902,55107
2009.01.21,0:00,1.29,1.3084,1.2824,1.302,61044
2009.01.22,0:00,1.3021,1.3083,1.2907,1.2998,55096
2009.01.23,0:00,1.2996,1.3036,1.2765,1.2956,51829
2009.01.26,0:00,1.296,1.3207,1.286,1.3186,50313
2009.01.27,0:00,1.3186,1.3329,1.3117,1.3158,52758
2009.01.28,0:00,1.3158,1.3327,1.31,1.3162,58014
2009.01.29,0:00,1.3161,1.3179,1.2932,1.2951,49840
2009.01.30,0:00,1.2952,1.2956,1.2762,1.2808,51511
2009.02.02,0:00,1.2767,1.2898,1.2706,1.2842,43450
2009.02.03,0:00,1.2843,1.3056,1.28,1.3039,41722
2009.02.04,0:00,1.3038,1.3069,1.2808,1.2847,43397
2009.02.05,0:00,1.2847,1.2905,1.276,1.2788,42986
2009.02.06,0:00,1.279,1.2993,1.2747,1.2914,40923
2009.02.09,0:00,1.2959,1.3092,1.2873,1.3001,35451
2009.02.10,0:00,1.3001,1.3074,1.281,1.291,51138
2009.02.11,0:00,1.2911,1.2997,1.2833,1.2904,43457
2009.02.12,0:00,1.2904,1.2942,1.2721,1.286,44689
2009.02.13,0:00,1.2859,1.2941,1.2821,1.285,38836
2009.02.16,0:00,1.2777,1.2825,1.2726,1.2801,26908
2009.02.17,0:00,1.2807,1.2807,1.2562,1.2581,42302
2009.02.18,0:00,1.258,1.264,1.2512,1.2529,36021
2009.02.19,0:00,1.2528,1.276,1.2526,1.2672,35552
2009.02.20,0:00,1.2672,1.2883,1.2557,1.2825,42876
2009.02.23,0:00,1.2802,1.2991,1.2691,1.2692,41202
2009.02.24,0:00,1.2693,1.2878,1.2662,1.2845,39788
2009.02.25,0:00,1.2843,1.2898,1.269,1.2722,42070
2009.02.26,0:00,1.2721,1.281,1.2681,1.2743,35159
2009.02.27,0:00,1.2744,1.275,1.2604,1.2636,41509
2009.03.02,0:00,1.2636,1.2637,1.2545,1.2575,37974
2009.03.03,0:00,1.2574,1.2678,1.2521,1.256,38163
2009.03.04,0:00,1.256,1.2662,1.2456,1.266,38101
2009.03.05,0:00,1.2659,1.2663,1.248,1.2538,35823
2009.03.06,0:00,1.2538,1.2754,1.2532,1.2653,29382
2009.03.09,0:00,1.2655,1.2726,1.2555,1.2556,34379
